,PDBname,affinity
1,2avi,15.22
2,1avd,15
3,2xui,15
4,2xuf,14.39
5,7cpa,13.96
6,1amn,13.82
7,1eoj,13.77
8,1eol,13.42
9,1stp,13.4
10,1a4m,13
11,2ada,13
12,2c1q,13
13,2f01,13
14,2gh7,13
15,2uyw,13
16,1rbo,12.72
17,3o9f,12.7
18,4wkc,12.68
19,1q83,12.39
20,2xup,12.39
21,2zx5,12.33
22,3o9b,12.3
23,3o9g,12.3
24,6c8x,12.3
25,1ndj,12.16
26,2i0d,12.1
27,3o9h,12.1
28,3o9c,12.05
29,1agm,12
30,1gah,12
31,1lf9,12
32,1swk,12
33,1swn,12
34,4n70,12
35,6b5m,12
36,1ctu,11.92
37,6e9a,11.92
38,1mui,11.89
39,1sl3,11.85
40,3o9i,11.82
41,4f3c,11.82
42,5bry,11.82
43,1duv,11.8
44,4dfg,11.74
45,2i4x,11.72
46,1y6q,11.7
47,2fv5,11.7
48,4q1w,11.7
49,4wr7,11.7
50,5mw4,11.7
51,6cdj,11.7
52,2i4d,11.68
53,4jn2,11.68
54,6u7p,11.68
55,5ehn,11.64
56,1akv,11.59
57,2i4w,11.59
58,2i4u,11.57
59,4ll3,11.57
60,4wkb,11.57
61,3qaa,11.54
62,4djo,11.52
63,4djr,11.52
64,4k1b,11.52
65,5hln,11.52
66,5izj,11.52
67,5qil,11.52
68,6cpa,11.52
69,5drr,11.46
70,4ocx,11.44
71,1lyb,11.42
72,3wv1,11.41
73,1hvj,11.4
74,2i0a,11.4
75,2hb3,11.35
76,5dgu,11.35
77,2j62,11.34
78,2x00,11.33
79,1nl6,11.32
80,4gbd,11.32
81,5h8b,11.31
82,1mau,11.3
83,1pro,11.3
84,2q5k,11.3
85,2xpk,11.3
86,3st5,11.3
87,4f2w,11.3
88,6dgx,11.3
89,6dgy,11.3
90,6dgz,11.3
91,6dh3,11.3
92,6dh4,11.3
93,6dh5,11.3
94,6oos,11.3
95,6oot,11.3
96,6oou,11.3
97,3o9e,11.3
98,6mqe,11.29
99,3k8q,11.28
100,4ryd,11.26
101,1hpx,11.26
102,4u8w,11.24
103,3ok9,11.23
104,1sme,11.22
105,3gi5,11.22
106,3gi6,11.22
107,5dwr,11.22
108,5qim,11.22
109,2i4v,11.2
110,5h8e,11.2
111,1mq6,11.15
112,3m9f,11.15
113,4q1x,11.15
114,5llg,11.13
115,3std,11.11
116,1d4y,11.1
117,3gwt,11.1
118,5c2h,11.09
119,3k8o,11.07
120,4x3r,11.07
121,1eix,11.06
122,1jjk,11.06
123,1lor,11.06
124,1x1z,11.06
125,1dqx,11.05
126,1q84,11.05
127,4i8z,11.05
128,5dgw,11.05
129,5j5x,11.02
130,1dis,11
131,1swp,11
132,4ase,11
133,4kb9,11
134,4man,11
135,4qvx,11
136,5bs4,11
137,5bve,11
138,5ew9,11
